report_date,market_data_as_of,entity_type,category,ticker,name,horizon_months,price_return,rank,overall_rank,within_category_rank,market_cap,market_cap_coverage,price_date
2026-08-13,2026-08-12,stock,Advanced biofuels and SAF,CVX,Chevron,12,0.26130749984,2,21,2,403619489658,1,2026-08-12
2026-08-13,2026-08-12,stock,"Crop inputs, equipment, and irrigation",CF,CF Industries,12,0.388683175191,2,13,2,18012264232.6,1,2026-08-12
2026-08-13,2026-08-12,stock,"Fuel blending, refining, and retail",MPC,Marathon Petroleum,12,1.15328015829,2,2,2,101307533252,1,2026-08-12
2026-08-13,2026-08-12,stock,Grain origination and agribusiness,BG,Bunge,12,0.342503604037,2,16,2,21901580022,1,2026-08-12
2026-08-13,2026-08-12,stock,International ethanol,CSAN,Cosan,12,-0.401869158879,2,39,2,2504672704.64,1,2026-08-12
2026-08-13,2026-08-12,stock,Logistics,UNP,Union Pacific,12,0.316112554888,2,18,2,179291985296,1,2026-08-12
2026-08-13,2026-08-12,stock,U.S. ethanol and process technology,GPRE,Green Plains,12,0.640608034745,2,8,2,1123628107.84,1,2026-08-12
2026-08-13,2026-08-12,stock,"Wet milling, ingredients, and co-products",ADM,Archer Daniels Midland,12,0.33283182882,2,17,2,38923055923.1,1,2026-08-12
2026-08-13,2026-08-12,stock,"Crop inputs, equipment, and irrigation",VMI,Valmont Industries,12,0.294168613963,3,20,3,9349921875.14,1,2026-08-12
2026-08-13,2026-08-12,stock,"Fuel blending, refining, and retail",DINO,HF Sinclair,12,0.951398135819,3,5,3,16821907792.4,1,2026-08-12
2026-08-13,2026-08-12,stock,Grain origination and agribusiness,ADM,Archer Daniels Midland,12,0.33283182882,3,17,3,38923055923.1,1,2026-08-12
2026-08-13,2026-08-12,stock,Logistics,CP,Canadian Pacific Kansas City,12,0.225571863017,3,22,3,83020241914.6,1,2026-08-12
2026-08-13,2026-08-12,stock,U.S. ethanol and process technology,ANDE,The Andersons,12,0.630062111801,3,9,3,2301165356.1,1,2026-08-12
2026-08-13,2026-08-12,stock,"Wet milling, ingredients, and co-products",TSN,Tyson Foods,12,-0.0325879701855,3,32,3,20597978527.6,1,2026-08-12
2026-08-13,2026-08-12,stock,"Crop inputs, equipment, and irrigation",YARIY,Yara International,12,0.207834602829,4,23,4,,0,2026-08-12
2026-08-13,2026-08-12,stock,"Fuel blending, refining, and retail",PSX,Phillips 66,12,0.840267580356,4,6,4,96678777737.6,1,2026-08-12
2026-08-13,2026-08-12,stock,Logistics,GATX,GATX,12,0.125242901022,4,26,4,6219339017.28,1,2026-08-12
